phrase,ref
We definitely would need services from people and it is always good for businesses to bond and do business together.,mixed
Okay.,mixed
Thank you for your question.,mixed
"So when it comes to information dissemination, I think with my company, I think in the beginning of our conversation, I made mention of the fact that we don't entertain corporate bullshit.",internal
Not to say that we don't have a procedure or a proper way of communication in our company.,mixed
We do have a proper way of com communication in our company.,mixed
"We use an internal communication platform called ""We"".",mixed
"We do have access to corporate emails and other stuff, but it's an internal communication to call Slack.",mixed
"Where each one has particular channels, particular groups, there are channels for general manager.",mixed
"There are channels for managers, there are channels for the executive board.",mixed
"There are channels for project managers, operation managers, uh, customer support managers, like all these channels are there where we communicate, we tag people that are responsible for particular jobs and other stuff.",mixed
But I have people that supervise me.,mixed
"If I want to communicate anything to my bosses, there's nothing that can't stop me from channeling my ideas or asking them question about anything that there is that openness in our, in my company.",mixed
"Because you are not allowed to restrict someone from making their point because no one knows the reason, the reason why as a company, we stand with this with distance is because one of our verticals that we are operating, I think the business operates in 150 countries, started by someone who was lower in the rank.",mixed
"It was his idea that brought up that vertical and it was being worked on and became bigger and bigger, started generating more revenue than even the oldest vertical.",mixed
Like it started generating almost half of the revenue in the oldest vertical the business was generating.,mixed
So our communication is open.,mixed
"You talk to your, you talk to, there is that proper feedback system we have.",mixed
"We do reviews of performances, we do reviews of attacks, all those things.",mixed
"And people, whenever there are issues or there are conflicts, we find the best way to resolve this conflict.",mixed
"And as so far as we are, we are humans.",mixed
There will be one or two issues of people having one or two misunderstandings with a colleague or with a workmate.,mixed
"And we find out the best way to resolve this and not to make these people have hidden hate within, within the team to affect the overall team performance.",mixed
I get what you're saying.,mixed
"Yeah, yeah, sure.",mixed
"I think I've worked a number of jobs as a person, I started after uni, I started as a teacher.",mixed
"I did some freelance job, uh, personally as an IT support, like I was moving around supporting people, people who needed my services.",mixed
Then I worked with the mining servicing company for six months before I moved into the tech industry proper.,mixed
"So I would say from the mining services company, after that I've been with my company for six years.",mixed
"So the mining services company, the only difference I see is with the mining services company, they are using a traditional approach.",mixed
"If your boss says this, you cannot say the otherwise.",external
You understand.,mixed
"If your boss says, you cannot even chip in your idea what you think, because the whole perception is you are just fresh from school, you don't really have any sort of experience.",external
"You're not supposed to be the one to question my idea or you're not supposed to be the one, don't object.",mixed
"What I come up with, just follow the rules and do your work.",internal
Right.,mixed
"In the bias servicing company, you are supposed to dress in a particular way, always you look like, uh, I don't know how to put it, but with my current job, I can just put my t-shirts, I can even put on, um, cam shoes and come to work.",mixed
"I when I come to work, I can take my sneaker off and put on my Crocs and just do my work.",mixed
"Mine is just to do my work, not necessarily how I look or how, and one of the thing I love about my current job is the fact that I work three days in the office, two days in the house.",internal
So that's for me that those things are the major differences why I've come to love working here.,internal
And I would probably would love to keep spending some time here and help them do very well as a business and expand across more cities in Ghana.,internal
So I have a funny story about my probation.,mixed
Okay.,mixed
And I think I would say this as an advice for anyone that will ever go into any business and will be put on probation.,internal
"For me, I think the key thing that managers want to see during probation is someone that is willing to learn.",internal
"Because no matter where I came from, you might have the experience already, but sectors and fuels and companies are different in terms of procedures and protocols and operations.",mixed
Okay?,mixed
Right.,mixed
"So regardless of the principle, the experience you came with, just have that adaptability spirit to adapt to the system that you were in.",external
"When I joined my company, I joined with one guy.",mixed
"He was, you know, in Ghana, uh, people consider that people from asasi to be brighter than any because of the structure of learning and the kind of lecturers they have in their school.",mixed
So I joined with one guy from Asasi.,mixed
"He was, I think he was, let me say he was ranked higher than me because of the university he was coming from.",mixed
"But that guy didn't have the desire and the energy, the hunger and the test that I had or the passion I had for the work.",internal
"Because although I came from the IT field, I was new to data analytics, if you understand.",mixed
"And how quick I was able to adapt, adapt and adapt to the business goals and the business metrics and those things.",external
"And how I was able to understand the connectivity of these metrics and the things that I'm supposed to do to, if A is misbehaving, things I'm supposed to do with B to make sure it's part A, if C'S misbehaving what I'm supposed to do to part A.",mixed
"And those things, at that time the business was going through some kind of rough patch, but I believe it was those things that made them realize that no, regardless of the the struggles that we are going through, this guy is more hungry for success and we have to give him the chance to stay and also help him to become better.",external
"So for me, probation, the most important thing is let the organization see that willingness to learn and that spirit of adaptability and let them see that, that design, passion, passion you spoke about during your interview.",external
"Yeah, sure.",mixed
"Mentorship, but even as I'm sitting here, I like, I still need ten more mentors.",mixed
"Mentorship, mentorship is very, very important because in as much as we as people, we always say that make your own mistakes and learn from them.",external
It's always best to know someone's mistake and learn from learn from that mistake.,external
"It makes it shorter and simpler because we don't have time, we think we have time in this life, we don't have that much time.",mixed
"By the time you will be done making your mistakes and learning from them, time would've been far spent, far gone.",mixed
And you will not be able to achieve what you would want to achieve.,mixed
"So mentorship is important for me, I'll keep on looking for more mentors, people that can help me, guide me, and who will motivate me to become a better version of myself.",external
And I would love to mentor people.,external
"My doors are always open for other people, black people to come, so that I can also share what I've learned and the knowledge I've gained.",external
"So far, but, I still have some people I mentor when it comes to work and when it comes to, let me say, public Christian life.",mixed
So that is it when it comes to mentorship.,mixed
"Okay, thank you for your question.",mixed
"So when it comes to motivation, I would say that family is my motivation in everything that I do because when I wake up in the morning, I look at my wife's face, uh, it motivates me.",external
"I look at my kids' face, it motivates me because basically I need to feed them.",external
I need to take care of the home.,external
"I need to take care of my extended family: my dad, my mom, my sisters.",external
"Uh, I didn't come alone in this life.",external
"So always there are people, people I look up to, to draw energy from, to draw enthusiasm from.",external
"But for me, I think I always would want to, I always say that sometimes with motivation it diminishes.",mixed
"So I always try my best to keep that spirit of discipline because discipline is more of like, uh, it's like if you're able to develop that discipline, it's like cocaine.",mixed
You can't stop.,mixed
"Like it's always, it is always flaming in you, when you want to get, you have to do.",internal
"And when it comes to challenges at work, when I joined my visit, my company had understand, I think I had, at that point in time, I had not learned how to, how to withstand challenges.",internal
"And whenever we are in turbulence, I start to panic and I start to, I start to pass on the negative energy onto subordinate advice.",external
"So at the point I started learning from that, and at the moment I think I can, I can probably say that, uh, I've learned how to become calm.",internal
I've learned how to understand that everything that happens will pass.,internal
Like it's just for a particular moment.,mixed
"Like those things are faces, like it will pass.",mixed
"'cause during covid time we went down, like, much like our projection went down.",mixed
"Like there was lockdown, businesses were closing down, like things worked out and nothing was happening.",mixed
"And we were, I was scared.",internal
"Like I wasn't really, really scared for myself because I felt that if even if the company sinks, with the lot of experience that I have, I might get a different job if things become normal.",internal
"But I was scared for the new guys that had entered like the fresh people, that had put their trust in me for me to help them grow and for me to help them push them to the higher heights.",external
"And all of a sudden, my idea came in mind and we created a protected category in Ghana for the first time, and people like bounced to the idea and our members started jumping and growing and growing and growing.",mixed
So those moments taught me very important message in life that sometimes you just have to be calm.,internal
If you're a Christian you just have to pray because God actually is the give off ideas and knowledge.,mixed
"So for me, challenges shouldn't be something to make you fold and make you make you slow down.",internal
"It's a pleasure to talking to you, Mr.",mixed
I'm good.,internal
You?,mixed
"So actually, thank you for having me.",mixed
"Yeah, sure.",mixed
"So, you know, my name is M.B. Shtiak and I am from Australia, Sydney, Australia.",mixed
And I lived in Bangladesh last five years.,mixed
I used to work in human resources.	,mixed
I worked with multinational companies and international development organizations before.,mixed
"And in Australia, I'm actually pursuing my masters right now.",mixed
I doing a master of business management at Central Queensland University.,mixed
"And also, I'm working in a retail shop as a retail associate.",mixed
Okay okay.,mixed
Uh before that.,mixed
Yeah.,mixed
So in Australia my work is a retail associate which i've just told you and before that.,mixed
"Yes, I have worked near about five years in human resources and my last job was with a multinational company and that was genpa Bangladesh, it's a subsidiary of Julpa UAE that's one of UAE's largest producer and exporter of medicines and before that I worked with Friendship International, an international development organization.",mixed
"I worked there for about three years so altogether my work experience in human resources is five years, a little bit more than five years.",mixed
And yeah.,mixed
"Yeah, so I've actually worked in two different work setups because before I moved to Australia, I've never worked in retail.",mixed
Retail is totally different than what I used to do in Bangladesh because that was like nine to five corporate job.,mixed
That was like a desk job but in Australia it's like a retail job.,mixed
So uh that was quite new for me because i've never worked in retail before and if you ask me about work culture difference i wouldn't be able to describe an official setup in Australia because I didn't work in an office setup in Australia yet so I'm yet to experience that.,internal
"But in retail, it's very fast paced.",mixed
"And the thing is you have to work in a team, of course.",mixed
And that's quite similar to how we used to work in Bangladesh as well.,mixed
"I mean, you have to work in teams and also work culture is like in Bangladesh, people are more emotional and here people are more practical.",mixed
"So also there's another significant difference that I have noticed so far is in Bangladesh, some local organizations, fortunately, I didn't have to work with a lot of local organizations, I worked with like multinationals and INGOs.",internal
But I have had friends who have worked with like local organizations.,mixed
"And there it was, it was something like when you ask for a leave and your employer, they don't seem to be very happy about it, even though you are entitled to take leaves, like sick leaves, casual leaves, whatever.",mixed
So this is a significant change here in Australia.,mixed
"So, yeah, these are a few significant changes that I have noticed so far.",internal
Okay.,mixed
So i'll give you a very practical answer to that because a lot of fabricated answers would sound like so I love to help people and all for me.,internal
"Actually because I have been working human resources before I love to work with people, I love helping people and even though I have never worked in retail, this kind of job, working in retail, it requires you to be a very good communicator.",internal
And also you have to be able to help people.,external
"Because in retail, what happens, when someone comes to your store, they're actually looking for something.",mixed
So you are there to help them make that purchase decision or make suggestions based on their needs.,internal
That's what I enjoy about my job.,internal
"That would be a very generalized answer but in addition to that since i was new to a retail sector and for the first week I didn't even think that I could survive the retail environment, because I moved to Australia from a different country, and some people from eastern suburbs have a distinct accent which I was having like a really hard time trying to understand.",internal
"But eventually after a week, I actually started to get their accent, started to understand what they're trying to say.",mixed
And I started to communicate well.,mixed
"What excites me most about my job is if the store makes the budget, I mean like daily budget and then we have a weekly budget and then a monthly budget, if the store makes budget you get bonus so for me it's like entirely money.",external
"Money motivates me because I'm an international student here and I have a lot of bills to pay, I have to save for my university as well, so expenses as well tuition fees etc etc.",external
"I have to pay like every kind of bills that I have, so for me if I do well in my job that means I'll get some bonus at the end of the month.",external
"So doing well in my job is not an option for me, that's what I strive to do because I know a lot of people will give you a different answer, but for me money is the biggest motivator.",external
"So it motivates me, that's what actually excites me about my job.",external
Valuable lessons?,mixed
Yeah.,mixed
Okay.,mixed
So that should be never to take anything to heart because I have had very difficult customer who would make some racist comments.,internal
"Also, I've had really good customers at the same time most of my customers are really good.",mixed
"The one valuable lesson that I learned from my job is to let go of whatever is bothering you, you have to let it go.",internal
If you let it ruin your day what will happen that you will lack in performance.,external
"And if you lack in performance, you will not be able to make the budget.",mixed
"So you will still get your salary, of course, but you will not get the bonus that you need to pay a lot of your bills, so for me it's not an option.",internal
For me the valuable lesson is to let go and never take like anything too hard.,internal
Yeah that's what I learned.,mixed
So we are a team of four people in our shop right now.,mixed
"But the thing is even though we are a team, most of the time we work alone because of the store hour.",mixed
We have limited store hours so most of the time we are working by ourselves.,mixed
"But sometimes there are crossovers and for two-three hours we get to work together with another team member, that's at max two people at the same time.",mixed
You compliment each other and you cooperate with each other and especially during rush hour like Christmas season.,mixed
"So if your team performs well and if you are cooperating and communicating well with your team, it gets a lot easier.",mixed
So I'm actually very flexible in terms of working with a team or working by myself.,mixed
Most of the times I work by myself.,mixed
"All right, so I wouldn't say that conflict never happens in my work.",internal
So I have had a fair share of conflicts before and in my current job as well.,mixed
For example I wouldn't say it was a very difficult kind of conflict but sometimes I go extra mile so that my store performs well.,external
"So sometimes when we close at night at around like 9, 10, as it is like high season now, so whenever some other team member closes, they do not always leave the store very tidy.",mixed
They have to do cleanings.,mixed
They have to do all sort of works.,mixed
So it's really difficult.,mixed
"If the last person closing the last night doesn't eave the store tidy, clean and organized, it's very difficult for the next person who comes in to open.",mixed
Okay.,mixed
I had some sort of disagreement with one of my colleagues.,mixed
Work-life balance is simple: you have to have a healthy lifestyle and also you got to work because without work how are you going to pay your bills.,mixed
Right.,mixed
I know my next week's plan because the roaster has been published prior to a week.,mixed
"At least we know what am I going to do forthe next one week and when am I working and when am I not, and when do I have classes, and when do I have exams.",internal
"So I try to manage my time based on that and on weekends I, sometimes like to go to the beach, take a dive into the ocean or hang out with my friends, go to movies, or i love to read a lot of books.",mixed
I carry books with me like everywhere.,mixed
So that's what I do.,mixed
And also sometimes I talk to my parents back at home and my friends.,mixed
"And my friends overseas, I talk to them sometimes.",mixed
I try to stay connected to everyone.,mixed
"That's how I sort of try to  balance my work and life so that I have a social life, I have personal time for myself, and also I have enough time to study and work.",mixed
Okay.,mixed
So I can actually give you an answer in two different ways.,mixed
"From my prior experience experience in human resources, that's what I can do, give you an answer from that perspective and my present perspective.",mixed
"I'll try to blend and give you one simple answer, okay?",mixed
So for someone who's wanting to start their career my suggestion is be bold and also don't be scared of anything.,mixed
When i started working in retail I had zero experience in retail.,mixed
Actually I always have been very good with interviews because I took a lot of interviews in my life.,mixed
So I know what sort of questions are being asked in interview.,mixed
So I was always good at interview and I did well in my interview.,internal
"But when I got the job for retail associate and in my first day at work, I had such cold feet.",internal
"And I was not understanding anyone's accent, like the people of the shire have a different kind of accent, they use a lot of acronyms that I'm not familiar with).",mixed
When I started working in retail I started to doubt.,internal
"Thank you so much, Mr. Ghosh, for having me in your session i hope it helps.",mixed
If you need any further assistance or support regarding whatever queries you might have feel free to write to me.,external
thank you so much for having me.,mixed
Thank you.,mixed
Have a nice rest of the day.,mixed
Bye.,mixed
Okay.,mixed
Great.,mixed
"Hi, everyone.",mixed
"Uh, my name is Farhad.",mixed
"Uh, my last name is Yuldashev.",mixed
"I am deputy Station manager of Uzbekistan Airways in the Russian Federation, based in Moscow.",mixed
"Do I have to describe my position, what I have to do here?",mixed
"Okay, great.",mixed
"Uh, my position is, actually we are responsible for all the regular flights and charter flights, which operate to the Russian Federation.",mixed
And actually we're responsible just for operating flights.,mixed
"The technical, all the technical issues, any questions from passengers.",mixed
We’re responsible for it.,mixed
Actually I like aviation.,internal
"So, to work overseas, it's the best experience for, I think, for everyone.",internal
"So in this case, for me, also, but, the difficulties is, this is foreign country.",internal
"This is not my native country, so that's why it's a little bit difficult to live in another country, not in native country.",internal
And for my family also.,mixed
This is a difficulty.,mixed
"The, the biggest difficulty is this.",mixed
"Uh, sorry?",mixed
"Uh, a little bit, yeah.",mixed
A little.,mixed
"Actually, it's not pointed just in Russia, it's pointed overseas.",mixed
Uzbekistan is native country.,mixed
I'm like a fish in the sea in Uzbekistan.,internal
So that's why it's better to be in Uzbekistan.,mixed
"But for experience, it's a good opportunity to work overseas.",mixed
"Uh, the main motivation is to improve my skills, to improve my working skills, to get more experience.",internal
This motivates me.,external
"Probably, in Tashkent it was an office job.",mixed
"It means I just sit in one cabinet and there is no connection with customers, with people.",mixed
"But in here, when you are responsible for the all the flights, you have the opportunity to speak with passengers, with the staff of the airport, with the crew members of the airplane.",mixed
Also technical issues of the airplanes.,mixed
You will see.,mixed
"This is a good experience for, I think, for every person who works with aviation.",internal
Ideal colleague?,mixed
Interesting question.,mixed
The first one - communication.,mixed
"If we, for example, look the same way, this is good for the person who works with the other person.",mixed
Let me explain.,external
"For example, if I think like my colleague, it's better and easier to work with him or her.",mixed
Also the language level.,mixed
In the Russian Federation as you...,mixed
"Let me explain first: in Uzbekistan, the first language, native language, is the Uzbek language, the second is Russian.",mixed
So it's easy to communicate here.,mixed
And all the staff in our representation speak in Russian.,mixed
It's easy to communicate.,mixed
"And also how to explain... former Soviet Union people, we think similar to how people in the Russian Federation think.",mixed
So this is also easy for...,mixed
"I heard from my colleagues in Europe, in the United States, they think differently from Russia actually, former Soviet Union people.",external
So this is good for work here.,mixed
This is easy.,mixed
Yes-yes...,mixed
I didn't get the idea.,mixed
The biggest problem is the customers.,mixed
"As you know, if you work, it depends on the customer.",external
All the customers are different.,mixed
"Sometimes, in our case, not customers, probably passengers.",mixed
Yeah.,mixed
"Some passengers understand, some passengers don't understand.",mixed
"Some passengers start to explain the rule, which we already know.",mixed
"This is big trouble, how to explain our position.",mixed
Interesting question.,mixed
"Probably we don't have any problems because my colleagues, everything and everybody is well-experienced, and we understand each other, so there is no problem.",mixed
"If we have some trouble with my colleagues, if I have some trouble, I just explain it.",mixed
"If they don't want to understand, I will tell about this to my top manager.",mixed
And he will explain.,mixed
How to organize?,mixed
By letter or by words?,mixed
What do you mean?p,mixed
Communication style?,mixed
"Just knock on the door, open the door, sit and tell everything.",mixed
Yes-yes.,mixed
"Actually, I have two positions in this representation.",mixed
"The first one, I am the deputy representative of the region - regional representation.",mixed
It means that I'm responsible for more than 10 stations in the Russian Federation.,mixed
"This is Irkutsk, Vladivostok, Omsk, Perm et cetera.",mixed
And my second position is I am responsible for the shift at the airport Vnukovo.,mixed
It depends.,mixed
Let me explain how I start my day.,mixed
"The first day I am responsible in Vnukovo airport, daytime.",mixed
"And the second day, the next day, I'm responsible for the nighttime in airport Vnukovo.",mixed
The third day I have a day off because I'm not sleeping all night.,mixed
"So, the fourth day I'm responsible in regional representation and come back again.",mixed
I come to the airport.,mixed
"I check all the information about the flights, which will be in my shift.",mixed
And then start the registration of passengers.,mixed
"During the registration, a lot of questions come from passengers.",mixed
We try to solve this.,mixed
"If they don't understand,  I explained before, I just, we just tell to complain or send the question to our head office.",mixed
That's it.,mixed
And close the registration and depart the flight.,mixed
That's it.,mixed
Yes.,mixed
Same.,mixed
But in the office.,mixed
"In  the regional representation, it's a little bit different because this is office work.",mixed
"We communicate with our stations in the Russian Federation, by email, by the phone, like this.",mixed
It's online actually.,mixed
Yes.,mixed
"In aviation, actually, my professional skills improved, improved a lot.",mixed
"in Uzbekistan, in the head office, my position was in a protocol and visa department specialist.",mixed
"All of other things, it's different.",mixed
So I improved my skills in everything to operate the flight.,external
But before I didn't get that.,mixed
"So when I started to work here, it was news for me.",mixed
And it was a little bit difficult the first time.,mixed
"Thanks to all my colleagues, to everybody.",external
They helped me.,mixed
"They explained what I have to do, what I have to not do.",mixed
"Now  I'm not professional, but I think I'm much improved from before.",internal
In professional career?,mixed
In the Russian Federation?,mixed
To communicate with people.,mixed
"This is a very difficult, very difficult thing, to communicate with people.",mixed
And now it's different because people start to get angry so fast.,mixed
So that's why.,mixed
Before?,mixed
"Yes, because, now I think, in my opinion, people start to think too much about making money.",internal
So that's why they start to be angry.,internal
"Before you said something and it was normal for them, but now they start to get angry so fast.",mixed
My own business?,mixed
"I never think about that because maybe I'm not a businessman, that's why.",internal
"But if I start my own business, what I?...",mixed
In which position?,mixed
You mean?,mixed
"Uh, in which way to start or what?",mixed
"Aviation, maybe.",mixed
Maybe catering.,mixed
It's good also to make money.,mixed
It's interesting to provide the food to flights.,mixed
"Because, you know, the business which comes with food, from this business you can make more money than another, because you spend, for example, $1 and you will get back more.",mixed
"Maybe, that's why.",mixed
…Where… is the catering business?,mixed
The best.,mixed
"You mean, in which city?",mixed
In which country?,mixed
Yeah?,mixed
Where?,mixed
I think it's Turkey.,internal
Because of a lot of flights there.,mixed
"Where there are a lot of flights, you have a lot of customers.",mixed
A lot of customers.,mixed
A lot of money.,mixed
No problem.,mixed
I love it.,internal
"Because I speak English, I remember my English, I start to speak better, but I feel that I forget a lot of words.",internal
It's a little bit different.,mixed
To speak.,mixed
"OK, so my name is Jack, my surname is Jackman.",mixed
"Well, I am from South Korea and I'm 27 years old.",mixed
I studied here in Russia and finished the Saint Peterburg State University of Faculty of Management.,mixed
Now currently I'm working in Russian company named HTS which is producing coolers and chillers and working in international department of exporting the stuff.,mixed
"Well, basically our company has individual plans for each person and we as international staff need to achieve these goals.",mixed
"For example, in the first quarter, I need to make at least 100 cold calls or 20 hot calls.",mixed
"And when I'm finished, this means that I've done my job well.",external
And I just follow the rules of our head managers.,external
"I guess it depends on the situation, depends on question.",mixed
"However, everything in our company related to results.",external
"For example, if you made a decision and this leads to resolution, you will have a bonus.",mixed
"However, if the consequences of this decision are  bad, still the management will tell you that	next time you should think better because it leads to mistakes and even losses for the company.",mixed
"Well, I definitely believe nowadays in my place now where I work, I have the ideal environment of working because in our office, in our department we have 6 managers who are currently working in exporting stuff in the Central Asia region and our work is balanced in terms of how they are all professionals who respect each other.",mixed
"However, we are ready to help each other.",mixed
"For example, if I have questions, I can ask any of my partners and they will help me and if they have questions I also will help them.",mixed
"So this is an ideal environment where everybody is professional, however they always try to help each other.",mixed
Well my work starts at 9:00 AM usually by checking my e-mail because I need to communicate with my partners from other countries and emails is the best way of communication.,mixed
So after checking emails if I have some offers or questions I usually phone call them which is called hot calls until like 13 PM and then I have a break.,mixed
"After the break I just have two hours of co-work with my partners of my department when we discuss our issues, problems or any advantages we made during the day.",mixed
"So after this I just start making cold calls or sending emails with the product, trying to also answer the questions not just employees but also customers.",mixed
"The end of the work day, I just leave some my comments to my partners.",mixed
"I guess last month it wasn't my individual achievement, it was our department achievement where we reached the agreement with with some Uzbek company name trust.",mixed
We created a project where we'll implement our product in their huge project.,mixed
And this project already has been approved by our managers and by their managers and now we're working on details.,mixed
I think this is one of the best deals I have had in our company.,internal
Our I team had.,mixed
"Well, before this place I've worked in Korean company, but it was also located in Russia.",mixed
The company was producing details for cars and I was also managing the company.,mixed
"However, the atmosphere of work wasn't that good because our head department pushed us to hit unrealistic targets.",mixed
But here in my current job at our head office the department head knows what is better and what is achievable.,mixed
That is why I feel more better because now I at least know my goal is achievable.,internal
"And of course, atmosphere is better.",mixed
"As I said earlier, my colleagues are very polite, very friendly and they're ready to help.",mixed
So this is I think the biggest difference.,internal
Describe my company.,mixed
I'm working in HTS company.,mixed
It is a Russian company.,mixed
However it's now it is from 2023.,mixed
I mean it's exploring some international business trying to export its products and I'm currently working in the department of International business.,mixed
"So our company produces chillers, conditioners, coolers and etcetera.",mixed
"It works in many fields like healthcare, railways, some oil companies etcetera.",mixed
"So whenever you need to call in order to produce cool atmosphere, our company is ready to help.",mixed
Thank you for having me.,mixed
Okay my name is Asma and I am an international student in HSE.,mixed
I'm doing my master's here in Arts and Culture Management.,mixed
I'm from Pakistan and apart from my studies I work here in a Russian company which provides services in Fintech so it's been more than one year that I have worked in this company.,mixed
"For me I was new here in St. Petersburg I didn't know anything about the Russian corporate culture and I applied to many jobs and luckily, I got this job in this company which is called ""Call solution"" and to my surprise the environment and the support from the company and also from the government in terms of corporate laws or health issues laws regarding the jobs.",mixed
So the all of these things motivated me to keep going with this job and also with the job the work life balances also really good.,external
So that was the only reason that I did not think to change my job from this job to another job and that's why I have been doing it.,external
Yeah because it is stable and the environment was really really good in comparison to Pakistan.,mixed
"So, the teams, everybody was supportive at work.",mixed
So I really like that and I also like the laws regarding the labor which are Russian laws.,internal
So for me that was the motivation to keep going at this job.,external
With my job yes I was working as a support agent initially for seven or eight months and I was the lucky one and maybe it was my success that in a short period of time I moved from one department to another department.,mixed
Now I work in KYC which is which is more interesting than support personally for me.,internal
So this is the success I believe that I have achieved and everybody in the office really praised me that I am the first to get the promotion very early in the job.,mixed
And I was warmly welcomed by the KYC department as well.,mixed
So that was my mini success in this office.,mixed
In my situation right now as a student as well this job is a perfect match so I am able to balance my studies and job along.,mixed
"Yes, I have more I would say desires to grow better on this position because as a human you always want to grow.",internal
I would not say this is the ideal situation where I have to be here all the time.,internal
"No, I really want to grow.",internal
The current situation is perfect for me.,internal
"Yes, in my company there are many people who are not native Russians.",mixed
They are from different parts of the world.,mixed
"Some are from Indonesia, some are from India, some are from Spain.",mixed
"So there are many nationalities within the company and the majority of people in the company speak Russian, but when they are talking to us they start speaking English.",mixed
"This environment is more welcoming, more comforting.",mixed
"They do not completely neglect you, even in meetings they really try to speak English.",mixed
"I really like this supportive environment and since every corporate company has events, they also celebrate events.",mixed
They don't keep their employees as excluded but they get along them.,mixed
"So, I'm speaking too much but yes, it’s a really supportive environment.",mixed
I believe that the support that the Russian people and the Russian culture corporate environment has given us is admirable really.,internal
With other company?,mixed
I mean it's been quite more than a year for me they are like my another family.,mixed
I talked to them.,mixed
"She always comes close and welcomes me, and there Shusha - she hugs me every time.",mixed
"Whenever we cross each other they warmly welcome me, they talk to me friendly.",mixed
When it comes to tasks which we perform on daily basis these tasks are assigned in a way that everybody does the job perfectly and also their report is in English.,mixed
"I don't know if it answered the question you have asked, but recently I asked my company to arrange an internship in the management department for my degree course.",mixed
"They were so kind and they were so supportive, they made this collaboration with the university and designed an internship for me for in the event management department.",mixed
"That's where I think I should appreciate them, that they agree to collaborate with the university and with the company, so there's an opportunity for a good collaboration within the company.",internal
"Since yes, this job is comfortable, easy and interesting as well but there is also I would say a negative point that in this job I am doing same task again, and again.",internal
"No, I don't hate my job to be honest, I appreciate the environment: is so friendly, so good, so comforting, so calm, and so supportive.",internal
"So I have never hated my job, I enjoyed it.",mixed
"Yes, some shifts are so early that at some times I'm tired or I'm sleepy.",mixed
"Apart from that I don't hate my job, I'm comfortable at this job.",mixed
That's a huge difference in what you feel now.,mixed
I like my country.,internal
I was working as a support agent and I was under so much pressure.,mixed
We worked nine hours straight without a single break.,mixed
They used to give us like half an hour break for just eating.,mixed
I just don't want to use that word...,internal
They just want employees to work all day without breaks.,mixed
"In Pakistan where I worked before it was not a good environment, the payment was not good and the behavior was not also good from the management side, they can insult you anytime.",mixed
"In Pakistan they always wanted boys to be the higher position because all the managers were boys, all the trainers were boys and men.",mixed
Pakistan is already a male dominant country.,mixed
"That company is not a small company in Pakistan, it's such a big company, it’s in a major city, in the middle of the city Iberks and it's in Karachi, so it's a huge company, but the environment was the worst and I was totally shocked when I saw the environment here in St. Petersburg, so that's a huge difference.",mixed
In my company it depends on what position you are so in.,mixed
In my position I do not have such powers to make any decision.,mixed
I have powers to make small decision for the customers.,mixed
"I believe language barrier, although they do speak English.",mixed
"They converse many times with us in English, but when you are in a certain environment where rest of people are speaking Russian and you don't understand, you feel isolated.",mixed
Also I believe at certain point that they might not give any foreigner the highest position.,internal
They will not give the top management level position to the foreigners.,mixed
"This is the difference, although I have not applied.",mixed
I'm interested.,internal
I've seen that they face a struggle and they have to be very careful about everything they do.,mixed
"Whatever is happening at the back you don't understand anything until you go and ask, so this is the challenge.",mixed
I believe at a certain point they might not give any.,internal
"It is not rule, it is just if they apply, they might consider it.",mixed
"It is my opinion, that there is something you learn from the environment.",internal
"Those things are not on the pages and not in the rules, but you just learn from one to one conversation.",mixed
I am proud that I got this opportunity very early since I came back here and performed very well on a customer agent job and then I shifted to another department and learned everything within two weeks.,internal
I was able to perform on the same level with other employees who were working for two to three years.,mixed
"And I came to that position within two weeks so, it was achievement for me.",internal
I was really proud on myself.,internal
"My numbers, my performance number, my QA scores - everything improved and I became comfortable.",external
I am also proud that I mingled with the whole team quickly.,internal
I didn't have a problem.,mixed
My country needs to improve a lot in the corporate culture.,mixed
They have to work on the way they run the companies.,mixed
"I don't have any questions but thank you so much for having me and good luck, thank you.",mixed
Hello.,mixed
Can you hear me?,mixed
"Yeah, I'm working.",mixed
I actually started to work several weeks ago.,mixed
I suppose the main thing is new experience.,mixed
I'm just very excited about new things and work.,internal
"New tasks, new projects, I have an opportunity to solve some new challenges I faced.",mixed
"And of course, I was very excited to meet new people at this place of work.",internal
I suppose that the main key thing is transparency of work process.,mixed
"I'm not sure how it's called, but I will explain it to you.",mixed
"I just can sit and observe my part in the whole project, like my part of responsibilities.",mixed
"I had to achieve the whole success, the whole task and that makes me feel good.",external
I'm not sure what do you mean by this question about my role.,mixed
Do you mean my role at the workplace?,mixed
"Yeah, I mostly like data analytics.",internal
"I just had to analyze a lot of separate pieces of information and combine them in some reports, in Excel tables and present them to my colleagues.",mixed
"Frankly speaking, the most appealing thing is that it's not me who takes responsibility for the main decisions of the main direction of the company.",mixed
"I mean, when we are doing the project, we have in our command quite a strict hierarchy.",mixed
"And I suppose I'm just in the lowest part of this, because I'm a newcomer.",mixed
"That's why I only prepare some materials, observe some databases and still it's not me who's making really key decisions which can be really important and stressful.",mixed
So I'm kind of a chill guy.,mixed
I suppose it will help me improve my analytical skills.,internal
"I mean, during my master's degree I've got some theoretical knowledge about this, but I've never applied it to a real case.",mixed
"And now I have an opportunity, so I'm quite happy with it.",internal
"I suppose it's really difficult for the company to achieve successful company culture, because it's kind of a balance between some empathy relation between colleagues and discipline.",internal
